id,name,source_type,source,repo_path_or_url,sha256,crs,feature_count,id_field,name_field,feature_behavior,status,notes
ADMIN_SIRAP,SIRAP Regions,version_pinned_snapshot,MADS,https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/boundaries/sirap/v3/sha256-1372ce888f8c4c0f160da9c4ce553254542f160bb82bfd6a1da5730da4493e5c/siraps_authoritative_combined_v3.geojson,1372ce888f8c4c0f160da9c4ce553254542f160bb82bfd6a1da5730da4493e5c,EPSG:4326,8,sirap_id,sirap_name,authoritative_combined_feature,active,Metric source combining six authoritative territorial v3 polygons with the two pinned thematic v2 polygons; immutable path is content-addressed by the exact source SHA-256 and deprecated split territorial IDs are excluded
ADMIN_DEPARTMENTS,Colombia Departments,version_pinned_snapshot,IGAC,https://aagibolq28slyfof.public.blob.vercel-storage.com/boundaries/igac_departments_detailed.geojson,88304394fdd315f7803a65730392cafe2d0defa7b73acc068ba51d1795d3ed64,EPSG:4326,33,boundary_id,boundary_name,matching_frontend_identify_feature,active,Exact detailed GeoJSON used by the frontend map
ADMIN_MUNICIPALITIES,Colombia Municipalities,version_pinned_snapshot,IGAC,https://aagibolq28slyfof.public.blob.vercel-storage.com/boundaries/igac_municipalities_detailed.geojson,13775cad6853b632029597e101628b6ed1051e7adc7e983864a84aa8aac9876a,EPSG:4326,1105,boundary_id,boundary_name,matching_frontend_identify_feature,active,Exact detailed GeoJSON used by the frontend map
ADMIN_RUNAP,RUNAP Protected Areas,version_pinned_snapshot,RUNAP,https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/includes/runap_identify.geojson,b1c940228b110e18b588ed2667b8d36f447c933a5f798adc024c51502c1a06a6,OGC:CRS84,1879,runap_id,runap_name,matching_frontend_identify_feature,active,Exact identify source used by the frontend map
ADMIN_OMEC,OMEC Areas,version_pinned_snapshot,Protected Planet,https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/includes/omecs_identify.geojson,b22742c079acbb09230daae68ecee09a4543765e3d4c88459f649f1e2d375b83,OGC:CRS84,614,SITE_ID,NAME,matching_frontend_identify_feature,active,Exact identify source used by the frontend map
