feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
Zonobioma Humedo Tropical Chaparral,NA,818,NA,43,NA,NA,0.05256723716381418,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,73.61999999999999,3.8699999999999997,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,2614,NA,NA,0.20193124758594053,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1165.05,235.26,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,0,NA,NA,0,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,0.54,0,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,5666,NA,NA,0.4630219825120536,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1101.33,509.94,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,43.92,36.99,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,155,NA,NA,0.11240029006526468,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,124.11,13.95,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,5.3999999999999995,0.09,ecosystem,NA
Peinobioma Chaparral,NA,14,NA,0,NA,NA,0,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.26,0,ecosystem,NA
Zonobioma Humedo Tropical Estribaciones Pacífico Norte,NA,34,NA,4,NA,NA,0.11764705882352941,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,3.06,0.36,ecosystem,NA
Orobioma Subandino Estribaciones Pacífico Norte,NA,16521,NA,1660,NA,NA,0.1004781792869681,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1486.8899999999999,149.4,ecosystem,NA
Orobioma Andino Estribaciones Pacífico Norte,NA,12769,NA,5886,NA,NA,0.4609601378338163,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1149.21,529.74,ecosystem,NA
Orobioma Subandino Cauca Alto,NA,2279,NA,29,NA,NA,0.012724879333040808,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,205.10999999999999,2.61,ecosystem,NA
Orobioma Andino Cauca Alto,NA,112,NA,0,NA,NA,0,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.08,0,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Oriental Magdalena Medio,NA,1134,NA,297,NA,NA,0.2619047619047619,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,102.06,26.73,ecosystem,NA
Zonobioma Humedo Tropical Magdalena Medio y Depresión Momposina,NA,7053,NA,304,NA,NA,0.04310222600311924,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,634.77,27.36,ecosystem,NA
Helobioma Magdalena Medio y Depresión Momposina,NA,1080,NA,138,NA,NA,0.12777777777777777,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,97.2,12.42,ecosystem,NA
Zonobioma Humedo Tropical Nechí - San Lucas,NA,9737,NA,1042,NA,NA,0.10701448084625655,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,876.3299999999999,93.78,ecosystem,NA
Hidrobioma Magdalena Medio y Depresión Momposina,NA,392,NA,205,NA,NA,0.5229591836734694,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,35.28,18.45,ecosystem,NA
Hidrobioma Nechí - San Lucas,NA,333,NA,277,NA,NA,0.8318318318318318,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,29.97,24.93,ecosystem,NA
Hidrobioma Estribaciones Pacífico Norte,NA,21,NA,7,NA,NA,0.3333333333333333,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1.89,0.63,ecosystem,NA
Orobioma Subandino Nechí - San Lucas,NA,11272,NA,2221,NA,NA,0.19703690560681333,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,1014.48,199.89,ecosystem,NA
Hidrobioma Cauca Alto,NA,117,NA,85,NA,NA,0.7264957264957265,NA,Estr30+HuEC100+RUNAP+OMEC_IHEH2022,post-hoc,10.53,7.6499999999999995,ecosystem,NA
