feature,met,total_amount,absolute_target,absolute_held,absolute_shortfall,relative_target,relative_held,relative_shortfall,scenario,evaluated,total_amount_km2,absolute_held_km2,feature_type,class
Zonobioma Humedo Tropical Cauca Medio,NA,504,NA,55,NA,NA,0.10912698412698413,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,45.36,4.95,ecosystem,NA
Helobioma Chaparral,NA,122,NA,2,NA,NA,0.01639344262295082,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,10.98,0.18,ecosystem,NA
Hidrobioma Vertiente Pacífico - Chocó,NA,19,NA,18,NA,NA,0.9473684210526315,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,1.71,1.6199999999999999,ecosystem,NA
Orobioma Subandino Vertiente Pacífico - Chocó,NA,4534,NA,824,NA,NA,0.18173797970886635,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,408.06,74.16,ecosystem,NA
Zonobioma Humedo Tropical Vertiente Pacífico - Chocó,NA,2268,NA,610,NA,NA,0.2689594356261023,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,204.12,54.9,ecosystem,NA
Orobioma Subandino San Juan,NA,26,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,2.34,0,ecosystem,NA
Orobioma Subandino Tolima Grande,NA,4805,NA,9,NA,NA,0.0018730489073881373,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,432.45,0.8099999999999999,ecosystem,NA
Peinobioma Tolima Grande,NA,94,NA,19,NA,NA,0.20212765957446807,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,8.459999999999999,1.71,ecosystem,NA
Zonobioma Alternohigrico Tropical Chaparral,NA,684,NA,30,NA,NA,0.043859649122807015,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,61.559999999999995,2.6999999999999997,ecosystem,NA
Zonobioma Humedo Tropical Chaparral,NA,818,NA,15,NA,NA,0.018337408312958436,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,73.61999999999999,1.3499999999999999,ecosystem,NA
Orobioma Subandino Chaparral,NA,12945,NA,114,NA,NA,0.00880648899188876,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,1165.05,10.26,ecosystem,NA
Zonobioma Alternohigrico Tropical Cauca Medio,NA,6,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,0.54,0,ecosystem,NA
Orobioma Andino Cauca Medio,NA,12237,NA,4894,NA,NA,0.3999346244994688,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,1101.33,440.46,ecosystem,NA
Orobioma de Paramo Cauca Medio,NA,488,NA,411,NA,NA,0.8422131147540983,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,43.92,36.99,ecosystem,NA
Orobioma Andino Vertiente Pacífico - Chocó,NA,234,NA,176,NA,NA,0.7521367521367521,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,21.06,15.84,ecosystem,NA
Orobioma Andino Chaparral,NA,1379,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,124.11,0,ecosystem,NA
Orobioma Azonal Subandino Estribaciones Pacífico Norte,NA,60,NA,1,NA,NA,0.016666666666666666,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,5.3999999999999995,0.09,ecosystem,NA
Peinobioma Chaparral,NA,14,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,1.26,0,ecosystem,NA
Zonobioma Humedo Tropical Estribaciones Pacífico Norte,NA,34,NA,4,NA,NA,0.11764705882352941,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,3.06,0.36,ecosystem,NA
Orobioma Subandino Estribaciones Pacífico Norte,NA,16521,NA,1645,NA,NA,0.09957024393196538,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,1486.8899999999999,148.04999999999998,ecosystem,NA
Orobioma Andino Estribaciones Pacífico Norte,NA,12769,NA,5879,NA,NA,0.46041193515545464,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,1149.21,529.11,ecosystem,NA
Orobioma Subandino Cauca Alto,NA,2279,NA,25,NA,NA,0.010969723562966213,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,205.10999999999999,2.25,ecosystem,NA
Orobioma Andino Cauca Alto,NA,112,NA,0,NA,NA,0,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,10.08,0,ecosystem,NA
Zonobioma Humedo Tropical Cordillera Oriental Magdalena Medio,NA,1134,NA,6,NA,NA,0.005291005291005291,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,102.06,0.54,ecosystem,NA
Zonobioma Humedo Tropical Magdalena Medio y Depresión Momposina,NA,7053,NA,199,NA,NA,0.028214943995462923,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,634.77,17.91,ecosystem,NA
Helobioma Magdalena Medio y Depresión Momposina,NA,1080,NA,54,NA,NA,0.05,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,97.2,4.859999999999999,ecosystem,NA
Zonobioma Humedo Tropical Nechí - San Lucas,NA,9737,NA,275,NA,NA,0.028242785252131048,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,876.3299999999999,24.75,ecosystem,NA
Hidrobioma Magdalena Medio y Depresión Momposina,NA,392,NA,112,NA,NA,0.2857142857142857,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,35.28,10.08,ecosystem,NA
Hidrobioma Nechí - San Lucas,NA,333,NA,209,NA,NA,0.6276276276276276,NA,Estr17+HuEC100+RUNAP_IHEH2022,post-hoc,29.97,18.81,ecosystem,NA
